year,avg_temperature_max,avg_temperature_min
1950,55.64985352196987,42.21836950679304
1951,54.07695505058246,41.29347393487671
1952,54.645161151898364,41.70023758920819
1953,53.675789300984654,40.90316822921041
1954,54.05648369863013,41.75579419885918
1955,57.313749432668494,43.55629584891233
1956,52.639095553089675,40.159172047814096
1957,56.93157020285205,43.188181836509045
1958,55.13056580115069,42.076095569383014
1959,54.64580434045096,41.27054245601863
1960,53.43655457610819,41.50745071713279
1961,55.326364680259175,42.59960659547452
1962,53.766511052838354,41.075986014374244
1963,55.13722892264658,41.80363839363496
1964,54.719177510545904,42.34892622072131
1965,53.03543310867398,41.048154543691176
1966,55.56823701597315,43.00889007325112
1967,53.14687283637809,40.67900821195392
1968,54.91491526473771,41.8984343884282
1969,54.24537838915671,41.289798377238355
1970,55.18875759102192,42.22625996616011
1971,54.69610561628493,42.566049282145755
1972,52.22598084460656,40.33917211325787
1973,55.08669352408219,42.68344216642318
1974,51.714017810693704,39.38201335628822
1975,52.497886497035616,40.16465215209315
1976,54.358439711012295,40.59859824408033
1977,54.26362488453972,41.96738738698713
1978,54.77574391283287,41.36423251486186
1979,50.227667310042186,37.32262455452493
1980,52.34303000928033,40.31236875614492
1981,54.946638640745206,41.92916820248164
1982,53.77464797966575,41.64582158561041
1983,55.09999607167671,42.75665200315672
1984,52.75589883924918,40.55974588658197
1985,55.94083034558739,42.81018196108581
1986,54.834675409473974,42.4952737185989
1987,53.05588646438904,40.76481650631874
1988,54.713275871418034,42.719499942834425
1989,54.09348794802192,41.27278454511874
1990,56.25544246372055,42.698944891475946
1991,55.43385900652055,42.39763838987123
1992,54.239177474786885,42.13548354049557
1993,53.85998109879068,41.10560659879342
1994,56.599908231150685,43.615712012863014
1995,54.59870833755726,42.0344328994663
1996,52.29311194280984,38.92769661572787
1997,56.64800842313863,44.109140819335344
1998,58.779634203906845,45.05028727549261
1999,57.563037076467396,44.39613152134104
2000,57.70245620840492,44.21925401968852
2001,57.48439197444603,44.540401069395074
2002,56.93056584869041,43.29319147438334
2003,59.45131125758904,45.85955603680548
2004,57.14155440178852,43.60130313800983
2005,58.39302214099178,44.6059901602548
2006,57.36083972235726,44.32436946364383
2007,59.167502845107734,44.90087125679945
2008,56.54745622571148,43.12425402724557
2009,57.639734451407286,44.63927780406849
2010,56.5772233795589,42.7697118753509
2011,58.60900980610959,44.58550134152164
2012,56.0952430578623,43.813270406882296
2013,55.37641944974247,41.99105856375956
2014,56.97322338193589,43.077684589623566
2015,56.21747553056164,43.18569316514806
2016,54.622292242606555,40.9630244879
2017,55.6885838916537,42.62352439234581
2018,56.98925070923288,43.8174105943359
2019,57.661174088871235,44.07262456127123
2020,60.434177584685244,45.77753262593443
2021,55.97041940129534,43.14700390489589
2022,57.49768911850959,43.73160241061386
2023,58.7029550536548,44.67229592204164
2024,57.629177661298364,44.6744179162459
2025,56.988282411339725,43.720538053513756
2026,56.6445383579978,44.056835259464656
2027,58.10821532035343,44.74183004715693
2028,59.57278429277049,45.52031947549508
2029,57.71395371252274,44.55741479060165
2030,61.30136038447671,46.42913668694345
2031,57.80172204676843,44.555419088578304
2032,57.024259456704925,43.86245073949508
2033,58.87433718246027,45.786839390950135
2034,58.61270286878247,44.19762973577502
2035,60.95172213650411,46.69741912088658
2036,60.0950791859836,45.976221178159015
2037,58.15704974443589,44.57516820551452
2038,59.995004441967566,45.46330098374016
2039,59.512708337315615,46.3132547482137
2040,59.26319402457377,45.81097531683033
2041,59.384254972383566,45.79546947865096
2042,62.303442745664654,47.99439673816186
2043,61.16895492101699,46.92032321018937
2044,61.28303008031148,47.33876223975427
2045,59.26195354132765,46.246702358939125
2046,59.44020990943014,45.2588899750811
2047,59.687283741913426,45.400186204465754
2048,62.91876783251148,48.47679499650819
2049,58.442830356668495,45.87881203526246
2050,60.66470290240547,47.46771191143178
