date,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,rain_sum,snowfall_sum,pressure_msl_mean
1950-03-08 00:00:00+00:00,4.5617204,-1.0264173,97.802345,59.29308,,,998.8824
1950-03-09 00:00:00+00:00,2.6169121,-1.6125419,97.87123,87.42685,,,1014.64215
1950-03-10 00:00:00+00:00,5.322104,-2.1986666,93.9401,51.56063,,,1020.602
1950-03-11 00:00:00+00:00,7.8772964,-0.034790907,98.00899,65.69441,,,1017.6617
1950-03-12 00:00:00+00:00,7.432488,2.5790846,98.07786,77.828186,,,1015.02155
1950-03-13 00:00:00+00:00,8.4876795,1.5929601,98.14674,91.96196,,,1019.18134
1950-03-14 00:00:00+00:00,13.342872,4.906836,98.21562,74.09574,,,1014.9412
1950-03-15 00:00:00+00:00,10.348063,2.7207112,98.28449,50.229515,,,1016.3009
1950-03-16 00:00:00+00:00,9.803255,4.3345866,98.35338,58.363297,,,1020.8608
1950-03-17 00:00:00+00:00,13.408447,5.998462,98.42225,62.49707,,,1022.42053
1950-03-18 00:00:00+00:00,9.7636385,1.6123376,95.491135,48.630844,,,1017.18036
1950-03-19 00:00:00+00:00,8.168832,-0.7237867,98.56001,55.76462,,,1014.64014
1950-03-20 00:00:00+00:00,7.724024,2.3900888,95.62889,32.898407,,,1019.5
1950-03-21 00:00:00+00:00,9.579215,0.75396436,98.69776,69.03218,,,1033.0598
1950-03-22 00:00:00+00:00,13.634407,2.4178398,98.76665,54.165955,,,1029.9196
1950-03-23 00:00:00+00:00,14.489599,7.031715,95.83552,56.299732,,,1013.1795
1950-03-24 00:00:00+00:00,12.59479,5.145591,98.904396,68.43351,,,1002.9392
1950-03-25 00:00:00+00:00,12.799982,5.9594665,98.973274,54.567287,,,1001.7991
1950-03-26 00:00:00+00:00,12.455175,4.1733418,89.04215,43.701065,,,999.85876
1950-03-27 00:00:00+00:00,7.7103667,2.1372173,97.11103,66.83484,,,1002.7186
1950-03-28 00:00:00+00:00,5.76556,0.25109264,99.17991,88.96862,,,997.7784
1950-03-29 00:00:00+00:00,6.2207513,1.3149681,99.24878,77.102394,,,1009.13824
1950-03-30 00:00:00+00:00,6.775943,1.1288443,93.317665,66.236176,,,1021.49805
1950-03-31 00:00:00+00:00,8.381134,2.7427197,93.38654,66.36995,,,1017.35785
1950-04-01 00:00:00+00:00,7.4863276,2.4565952,99.455414,76.50372,,,1015.8176
1950-04-02 00:00:00+00:00,7.7415195,-0.8295297,99.5243,46.637505,,,1018.9774
1950-04-03 00:00:00+00:00,8.84671,-2.7156541,86.59318,39.771286,,,1016.73737
1950-04-04 00:00:00+00:00,15.051904,6.298221,83.66206,38.905064,,,994.0971
1950-04-05 00:00:00+00:00,11.657094,5.162097,83.730934,51.038837,,,985.75696
1950-04-06 00:00:00+00:00,10.762286,5.3259726,78.79981,49.17261,,,987.71674
1950-04-07 00:00:00+00:00,9.617479,2.889848,85.86869,49.30639,,,988.87646
1950-04-08 00:00:00+00:00,9.022672,1.6037235,96.93757,70.44017,,,992.1364
1950-04-09 00:00:00+00:00,9.127862,0.5175994,100.0,50.57394,,,1002.3962
1950-04-10 00:00:00+00:00,7.6330547,2.9814744,94.07533,57.707726,,,1012.756
1950-04-11 00:00:00+00:00,9.338247,2.5453506,92.1442,75.84149,,,1004.01575
1950-04-12 00:00:00+00:00,9.243438,4.1592255,95.21308,65.97528,,,1012.2757
1950-04-13 00:00:00+00:00,9.59863,2.873101,93.28196,81.109055,,,1024.1354
1950-04-14 00:00:00+00:00,12.3038225,3.8869762,96.35084,51.242836,,,1030.0952
1950-04-15 00:00:00+00:00,13.959014,2.700852,87.419716,39.376606,,,1028.655
1950-04-16 00:00:00+00:00,17.314205,4.014728,88.4886,42.51038,,,1019.6148
1950-04-17 00:00:00+00:00,19.069397,6.678603,91.55747,55.644165,,,1013.57465
1950-04-18 00:00:00+00:00,18.224592,9.84248,95.62635,71.77794,,,1013.5344
1950-04-19 00:00:00+00:00,11.629783,7.206354,85.69523,66.91172,,,1015.6943
1950-04-20 00:00:00+00:00,13.034974,4.9702296,89.76411,50.04549,,,1021.95404
1950-04-21 00:00:00+00:00,14.090166,4.384105,84.832985,48.179276,,,1021.4139
1950-04-22 00:00:00+00:00,11.045359,3.5479813,93.90186,82.31305,,,1009.47363
1950-04-23 00:00:00+00:00,14.650549,7.6118565,94.97074,50.446823,,,1003.0335
1950-04-24 00:00:00+00:00,20.555742,9.425732,92.03962,53.5806,,,999.1933
1950-04-25 00:00:00+00:00,19.010935,9.689608,79.10849,45.714382,,,998.45306
1950-04-26 00:00:00+00:00,14.416126,6.653483,86.177376,45.848156,,,1008.11285
1950-04-27 00:00:00+00:00,12.7713175,5.1173587,88.24625,63.981934,,,1020.0726
1950-04-28 00:00:00+00:00,15.776509,4.931234,94.31513,60.115707,,,1020.1325
1950-04-29 00:00:00+00:00,17.331701,4.7951097,88.384,44.24949,,,1012.19226
1950-04-30 00:00:00+00:00,15.336894,8.908984,95.45288,83.38326,,,1011.0521
1950-05-01 00:00:00+00:00,19.392084,7.6728606,95.52177,53.517044,,,1007.4119
1950-05-02 00:00:00+00:00,16.297277,10.386736,95.590645,74.65082,,,1003.2717
1950-05-03 00:00:00+00:00,18.444239,9.245195,89.66501,49.766872,,,1003.7331
1950-05-04 00:00:00+00:00,16.166504,8.93741,89.75584,61.829777,,,1006.5992
1950-05-05 00:00:00+00:00,17.288767,8.079624,92.846664,61.89267,,,1009.46533
1950-05-06 00:00:00+00:00,17.011034,10.421839,93.9375,61.955574,,,1008.83154
1950-05-07 00:00:00+00:00,23.033297,11.564053,92.02833,48.01847,,,1001.0976
1950-05-08 00:00:00+00:00,16.655563,9.256268,83.119156,53.08137,,,1008.0638
1950-05-09 00:00:00+00:00,18.627829,8.448481,91.20997,44.144268,,,1010.12976
1950-05-10 00:00:00+00:00,19.70009,9.190697,93.300804,54.207165,,,1020.0959
1950-05-11 00:00:00+00:00,20.322355,10.932909,88.39163,54.27006,,,1024.262
1950-05-12 00:00:00+00:00,21.04462,10.425125,88.48246,37.332966,,,1024.0281
1950-05-13 00:00:00+00:00,18.616884,9.217339,88.57329,43.39586,,,1019.8943
1950-05-14 00:00:00+00:00,20.63915,8.309552,86.66412,42.458763,,,1017.0604
1950-05-15 00:00:00+00:00,22.461416,12.801767,85.75495,55.521656,,,1011.42645
1950-05-16 00:00:00+00:00,17.833681,9.543982,86.84577,45.584557,,,1021.89264
